DATE,PLAYER,ANCHOR/DART,STAT,LINE,PROJECTION,OVER/UNDER,PAYOUT,OUTCOME,VALUE,HOME/AWAY,WIN/LOSS,SCORE DIFF,SPREAD,TOTAL,MIN,SZN AVG MIN DIFF
10/21/2025,Austin Reaves,,PTS,22.5,21.5,UNDER,,CHALK,26,HOME,LOSS,-10,2.5,224.5,36,
10/21/2025,Marcus Smart,,PTS,8.5,7.6,UNDER,,CHALK,9,HOME,LOSS,-10,2.5,224.5,23,
10/21/2025,Stephen Curry,,PTS,19.5,27.2,OVER,,CASH,23,AWAY,WIN,10,-2.5,224.5,32,
10/21/2025,Alperen Sengun,,RA,13.5,14,OVER,,CASH,18,AWAY,LOSS,-1,7.5,226.5,49,
10/21/2025,Kevin Durant,,3P FGM,2.5,,UNDER,,CASH,0,AWAY,LOSS,-1,7.5,226.5,47,
10/21/2025,Aaron Wiggins,,PTS,11.5,13.6,OVER,,CHALK,10,HOME,WIN,1,-7.5,226.5,21,
10/21/2025,Luka Doncic,,TO,4.5,3.7,UNDER,,CASH,3,HOME,LOSS,-10,2.5,224.5,41,
10/21/2025,Shai-Gilgeous Alexander,,PTS,31.5,33.1,OVER,,CASH,35,HOME,WIN,1,-7.5,226.5,47,
10/22/2025,Brandon Ingram,,FPS,31,,OVER,,CASH,32.3,AWAY,WIN,20,5.5,236.5,27,
10/22/2025,Brandon Ingram,,3P FGM,1.5,,OVER,,CHALK,0,AWAY,WIN,20,5.5,236.5,27,
10/22/2025,Brandon Ingram,,PTS,17.5,21.2,OVER,,CHALK,16,AWAY,WIN,20,5.5,236.5,27,
10/22/2025,Kristaps Porzingis,,PTS,17.5,19.1,OVER,,CASH,20,HOME,LOSS,-20,-5.5,236.5,26,
10/22/2025,Dyson Daniels,,FPS,31,,OVER,,CHALK,13.6,HOME,LOSS,-20,-5.5,236.5,23,
10/22/2025,Dyson Daniels,,STL,1.5,2.5,OVER,,CASH,2,HOME,LOSS,-20,-5.5,236.5,23,
10/22/2025,Lamelo Ball,,AST,7,7.5,OVER,,CASH,8,HOME,WIN,19,-4.5,226.5,34,
10/22/2025,Ja Morant,,AST,7,7.3,OVER,,CHALK,3,HOME,WIN,6,-3.5,236.5,29,
10/23/2025,Jonathan Kuminga,,RA,6.5,6.7,OVER,,CASH,8,HOME,WIN,6,-1.5,234.5,36,
10/23/2025,Jonathan Kuminga,,FPS,26.5,,OVER,,CHALK,23.5,HOME,WIN,6,-1.5,234.5,36,
10/23/2025,Jimmy Butler,,PRA,27.5,28.7,OVER,,CASH,32,HOME,WIN,6,-1.5,234.5,39,
10/23/2025,Nikola Jokic,,RA,17.5,19.7,OVER,,CASH,23,AWAY,LOSS,-6,1.5,234.5,41,
10/23/2025,Jamal Murray ,,PRA,29.5,28.9,OVER,,CASH,38,AWAY,LOSS,-6,1.5,234.5,40,
10/23/2025,Shai-Gilgeous Alexander,,FPS,49.5,,OVER,,CASH,79.1,AWAY,WIN,6,-7.5,228.5,45,
10/24/2025,Walker Kessler,,PTS,10.5,11.7,OVER,,CHALK,3,AWAY,LOSS,1,6.5,232.5,30,
10/24/2025,Cade Cunningham,,AST,7.5,8.4,OVER,,CASH,9,AWAY,WIN,4,5.5,226.5,39,
10/24/2025,Anthony Davis,,PTS,25.5,29.7,OVER,,CASH,27,HOME,LOSS,-10,-12.5,227.5,38,
10/24/2025,Anthony Davis,,PRA,41.5,45.5,OVER,,CASH,44,HOME,LOSS,-10,-12.5,227.5,38,
10/24/2025,Kawhi Leonard,DART,PR,26.5,30.2,OVER,,CASH,32,HOME,WIN,27,-10.5,228.5,33,
10/24/2025,Paolo Banchero,,PR,32.5,35.1,OVER,,CHALK,17,HOME,LOSS,-4,-5.5,228.5,36,
10/24/2025,Paolo Banchero,,PTS,24.5,27,OVER,,CHALK,11,HOME,LOSS,-4,-5.5,228.5,36,
10/24/2025,Paolo Banchero,,PRA,37.5,39.4,OVER,,CHALK,18,HOME,LOSS,-4,-5.5,228.5,36,
10/24/2025,Davion Mitchell,,PTS,10.5,9.2,OVER,,CHALK,2,AWAY,WIN,32,4.5,232.5,21,
10/24/2025,Davion Mitchell,,PA,18.5,16.4,OVER,,CHALK,9,AWAY,WIN,32,4.5,232.5,21,
10/24/2025,Bam Adebayo,DART,STOCKS,1.5,1.7,OVER,,CHALK,1,AWAY,WIN,32,4.5,232.5,28,
10/24/2025,Mark Williams,,DREB,5,,OVER,,CHALK,3,AWAY,LOSS,-27,10.5,228.5,14,
10/24/2025,Mark Williams,,PTS,11.5,12.8,OVER,,CHALK,2,AWAY,LOSS,-27,10.5,228.5,14,
10/24/2025,Alperen Sengun,,PR,29.5,30.4,OVER,,CHALK,24,HOME,LOSS,-4,-5.5,226.5,38,
10/24/2025,Jordan Poole,,AST,3.5,4.4,OVER,,CASH,5,HOME,LOSS,-4,3.5,231.5,41,
10/24/2025,Jordan Poole,DART,1H PTS,9.5,,OVER,,CASH,14,HOME,LOSS,-4,3.5,231.5,21,
10/25/2025,Nikola Vucevic,,PTS,14.5,21.3,OVER,,CASH,15,AWAY ,WIN,12,5.5,231.5,31,
10/25/2025,Ja Morant,,PTS,19.5,26.5,OVER,,CHALK,19,HOME,WIN,25,-2.5,238.5,27,
10/25/2025,Lamelo Ball,,PTS,19.5,24.8,OVER,,CASH,27,AWAY ,LOSS,-4,6.5,231.5,34,
10/25/2025,Ben Mathurin,,PTS,17.5,22.5,OVER,,CASH,26,AWAY,LOSS,-25,2.5,238.5,28,
10/25/2025,VJ Edgecomb,,PTS,17.5,19.9,OVER,,CHALK,15,HOME,WIN,4,-6.5,232.5,40,
10/25/2025,Dyson Daniels,,PTS,12.5,11.1,UNDER,,CASH,8,HOME,LOSS,-17,8.5,235.5,27,
10/25/2025,Jamal Murray ,,AST,4.5,6.1,OVER,,CASH,5,HOME,WIN,22,-11.5,234.5,32,
10/25/2025,Pascal Siakam,,PRA,34.5,35.3,OVER,,CHALK,25,AWAY,LOSS,-25,2.5,238.5,26,
10/25/2025,Tyrese Maxey,,PRA,36.5,37.7,OVER,,CASH,43,HOME,WIN,4,-6.5,232.5,42,
10/25/2025,Tyrese Maxey,,AST,5.5,6.4,OVER,,CASH,9,HOME,WIN,4,-6.5,232.5,42,
10/25/2025,Paolo Banchero,,PTS,26.5,25.1,UNDER,,CASH,24,HOME,LOSS,-12,-5.5,231.5,36,
10/25/2025,Devin Booker,,PTS,26.5,26.4,UNDER,,CHALK,31,AWAY,LOSS,-22,11.5,234.5,37,
10/25/2025,Nikola Jokic,,PA,36.5,38.4,OVER,,CHALK,29,HOME,WIN,22,-11.5,234.5,32,
10/26/2025,Imanuel Quickley,,AST,5.5,6.2,OVER,,CHALK,5,AWAY,LOSS,-10,-1.5,231.5,32,
10/26/2025,James Harden,,AST,7.5,9.1,OVER,,CASH,13,HOME,WIN,7,-7.5,224.5,38,
10/26/2025,Cooper Flagg,,TO,2.5,2.8,OVER,,CHALK,0,HOME,WIN,10,1.5,231.5,29,
10/26/2025,Giannis Antetokounmpo,,PTS,30.5,29.4,OVER,,CASH,40,AWAY,LOSS,-5,6.5,236.5,33,
10/26/2025,Giannis Antetokounmpo,,REB,12,12.9,OVER,,CASH,14,AWAY,LOSS,-5,6.5,236.5,33,
10/26/2025,Colin Sexton,,PTS,13.5,18.6,OVER,,CASH,20,AWAY,WIN,26,1.5,235.5,33,
10/27/2025,Nikola Jokic,,RA,19.5,21.1,OVER,,CHALK,19,AWAY,WIN,13,-6.5,230.5,36,
10/27/2025,Trey Murphy,,PTS,14.5,17.9,OVER,,CHALK,7,HOME,LOSS,-32,3.5,234.5,34,
10/27/2025,Victor Wembanyama,,AST,3.5,4.8,OVER,,CASH,4,HOME,WIN,18,-4.5,232.5,31,
10/27/2025,Victor Wembanyama,DART,1H FPS,33,,OVER,,CHALK,25.6,HOME,WIN,18,-4.5,232.5,14,
10/27/2025,Ajay Mitchell,,PR,15.5,14.1,OVER,,CASH,24,AWAY,WIN,7,-7.5,225.5,27,
10/27/2025,Nikola Vucevic,,PTS,14.5,20.2,OVER,,CASH,17,HOME,WIN,5,2.5,241.5,34,
10/27/2025,Anfernee Simons,,PTS,10.5,13.6,OVER,,CASH,25,AWAY ,WIN,32,-3.5,234.5,32,
10/27/2025,Jalen Johnson,,FPS,37,,OVER,,CASH,44.7,AWAY,LOSS,-5,-2.5,241.5,32,
10/27/2025,Jalen Johnson,,PRA,31.5,31.4,OVER,,CASH,34,AWAY,LOSS,-5,-2.5,241.5,32,
10/27/2025,Julius Randle,,RA,9.5,12.3,OVER,,CASH,10,HOME,LOSS,-14,6.5,230.5,35,
10/27/2025,Jimmy Butler,,STOCKS,1.5,1.6,OVER,,CHALK,0,HOME,WIN,13,-9.5,238.5,31,
10/27/2025,Kevin Durant,,PTS,19.5,28.5,OVER,,CHALK,19,HOME,WIN,28,-15.5,225.5,25,
10/27/2025,Kevin Durant,,1H FPS,19,,OVER,,CHALK,18.8,HOME,WIN,28,-15.5,225.5,15,
10/27/2025,Alperen Sengun,,AST,4.5,6.9,OVER,,CASH,6,HOME,WIN,28,-15.5,225.5,30,
10/27/2025,Alperen Sengun,,REB,9,7.6,UNDER,,CASH,6,HOME,WIN,28,-15.5,225.5,30,
10/27/2025,Scottie Barnes,,FPS,36.5,,OVER,,CHALK,15.6,AWAY,LOSS,-18,4.5,232.5,30,
10/27/2025,Rui Hachimura,DART,PTS,15.5,17.3,OVER,,CASH,16,HOME,LOSS,-14,3.5,227.5,36,
10/27/2025,Cam Thomas,,PTS,19.5,24.8,OVER,,CHALK,9,AWAY,LOSS,-28,15.5,225.5,25,
10/27/2025,Paolo Banchero,,PTS,24.5,23.8,UNDER,,CHALK,32,AWAY,LOSS,-12,-6.5,227.5,38,
10/27/2025,Dyson Daniels,,PTS,11.5,11.1,UNDER,,CASH,2,AWAY,LOSS,-5,-2.5,241.5,32,
10/27/2025,Jordan Poole,,1H PRA,14,,OVER,,CHALK,15,HOME,LOSS,-32,3.5,234.5,18,
10/27/2025,Klay Thompson,,1H PRA,7,,OVER,,CASH,8,HOME,LOSS,-7,7.5,225.5,13,
10/27/2025,Jonathan Kuminga,,1H PRA,11.5,,OVER,,CASH,19,HOME,WIN,13,-9.5,238.5,16,
10/27/2025,Josh Giddey,DART,1Q PTS,5,,OVER,,CASH,6,HOME,WIN,5,2.5,241.5,8,
10/27/2025,RJ Barrett,,1H PRA,12.5,,OVER,,CHALK,11,AWAY,LOSS,-18,4.5,232.5,14,
10/27/2025,Aaron Gordon,,1H PRA,12.5,,OVER,,CHALK,11,AWAY,WIN,13,-6.5,230.5,15,
10/28/2025,Colin Sexton,,PTS,14.5,18.5,OVER,,CASH,18,AWAY,LOSS,-27,5.5,240.5,27,
10/28/2025,Colin Sexton,,1H PTS,9.5,,OVER,,CASH,17.3,AWAY,LOSS,-27,5.5,240.5,14,
10/28/2025,Lamelo Ball,,PTS,25.5,26.5,OVER,,CHALK,20,AWAY,LOSS,-27,5.5,240.5,28,
10/28/2025,Domantas Sabonis,,REB,12.5,15.9,OVER,,CASH,18,AWAY,LOSS,-6,10.5,228.5,35,
10/28/2025,Kawhi Leonard,,RA,8.5,8.5,OVER,,CHALK,6,AWAY,LOSS,-19,-1.5,225.5,31,
10/28/2025,Kawhi Leonard,,FPS,39.5,,OVER,,CHALK,27.5,AWAY,LOSS,-19,-1.5,225.5,31,
10/28/2025,Kawhi Leonard,,1H PRA,17,,OVER,,CHALK,13,AWAY,LOSS,-19,-1.5,225.5,31,
10/28/2025,Demar Derozan,,RA,7.5,7.1,OVER,,CHALK,4,AWAY,LOSS,-6,10.5,228.5,33,
10/28/2025,Mikal Bridges,,PTS,14.5,14.4,OVER,,CASH,24,AWAY,LOSS,-10,-1.5,230.5,39,
10/28/2025,Mikal Bridges,,1H FPS,13.5,,OVER,,CASH,27.6,AWAY,LOSS,-10,-1.5,230.5,17,
10/28/2025,Giannis Antetokounmpo,,REB,9.5,12.2,OVER,,CHALK,8,HOME,WIN,10,1.5,230.5,33,
10/28/2025,Bam Adebayo,,PTS,21.5,26.1,OVER,,CASH,26,HOME,WIN,27,-5.5,240.5,30,
10/28/2025,VJ Edgecomb,,PR,24.5,22.9,OVER,,CHALK,20,AWAY,WIN,5,-4.5,237.5,40,
10/28/2025,Jimmy Butler,DART,STL,0.5,1.5,OVER,,CHALK,0,HOME,WIN,19,1.5,225.5,32,
